organization,service,description,scheme,created,asset_url
"VMware, Inc.",VMware Cloud on AWS,"<p>VMware Cloud on AWS is an on-demand service that enables you to run applications across VMware vSphere-based cloud environments with access to a broad range of AWS services. Powered by VMware Cloud Foundation, this service integrates vSphere, VMware vSAN and VMware NSX along with VMware vCenter management, and is optimized to run on dedicated, elastic, bare-metal AWS infrastructure. With this service, IT teams can manage their cloud-based resources with familiar VMware tools.</p>",CAIQ 3.1 Self-assessment,2021-04-05 19:28:48.122843,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
"VMware, Inc.",CloudHealth by VMware,"<p>CloudHealth by VMware is an independent third party SaaS solution that provides robust functionality, governance and optimization across cloud and on-premises environments through visibility into configuration, inventory, costs and performance of services in these environments.</p>",CAIQ 3.1 Self-assessment,2021-03-29 00:00:00,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
Amazon,Amazon Web Services (AWS),"",CAIQ 3.1 Self-assessment,2021-07-27 07:00:00,https://content-production.star.watch/amazon/2018-01-24_Amazon_AWS-original.png
IBM Cloud,IBM Cloud Platform,"<p>IBM Cloud platform provides your business with everything you need to build, deploy and manage business applications. It is an integral part of IBM's innovative cloud computing platform that combines platform as a service (PaaS) with IBM Cloud infrastructure. Additionally, IBM Cloud platform has a rich catalog of cloud services that can be easily integrated  to build business applications rapidly.</p>",CAIQ 3.1 Self-assessment,2021-03-15 05:06:23.089996,https://content-production.star.watch/ibm-cloud/2018-04-09_ibm_cloud-original.png
Lookout Inc.,Mobile Endpoint Security (MES),"<p>The MES product platform provides modern endpoint protection, phishing and content protection, risk and compliance, vulnerability management, endpoint detect and response, threat intelligence and embedded app defense. </p>",CAIQ 3.1 Self-assessment,2021-03-12 00:00:00,https://content-production.star.watch/lookout-inc/2021-04-07_index-original.png
"VMware, Inc.",VMware Cloud Disaster Recovery,"<p>VMware Cloud Disaster Recovery is an on-demand disaster recovery service that provides an easy-to-use Software-as-a-Service (SaaS) solution, and offers cloud economics to keep your disaster recovery costs under control.<br>
You can use VMware Cloud Disaster Recovery to protect your vSphere virtual machines by replicating them to the cloud, and recovering them as needed to a target VMware Cloud Software Defined Data Center (SDDC). You can create the target SDDC immediately prior to performing a recovery, and it does not need to be provisioned to support replications in the steady state.</p>
",CAIQ 3.1 Self-assessment,2021-05-07 16:55:37.807263,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
IBM Cloud,IBM Watson on the IBM Cloud,"<p>IBM Watson on the IBM Cloud helps to transform businesses, enhancing competitive advantage and disrupting industries by unlocking the potential within unstructured data. Fundamental to providing a strong foundation for companies wanting to leverage Watson services, IBM uses best-in-class security and compliance processes that allow for successful execution of challenging workloads.</p>

<p>Watson on the IBM Cloud allows you to integrate the world’s most powerful AI into your application and store, train and manage your data in the most secure cloud.</p>
",CAIQ 3.1 Self-assessment,2021-03-25 00:00:00,https://content-production.star.watch/ibm-cloud/2018-04-09_ibm_cloud-original.png
Tata Consultancy Services Ltd,TCS Enterprise Cloud Platform (TCS ECP),"<p>Tata Consultancy Services’ (TCS) state-of-the-art Enterprise Cloud provides best-in-class, contextual, full-stack and secure cloud services. This enables enterprise agility, harnesses ecosystems with reduced TCO and drives a purpose-led vision and synergy across all areas of the IT landscape to realize exponential business value. Trusted by Fortune 1000 companies, we support mission critical workloads and TCS’ industry standard solutions like SAP, TCS OptumeraTM, TCS BaNCSTM, TCS Advanced Drug Discovery (ADD), and mainframe technologies.</p>
<p>TCS Enterprise Cloud provide a broad range of flexible, dynamic hybrid cloud services that enable enterprises to build and synergize their cloud strategies with ever-evolving business and regulatory requirements, accelerating business value and reducing cost of operations.  The enterprise cloud platform “TCS Alpha” is integrated with software defined (SDx) capability, enabling automation &amp; resilience at all levels on Zero Trust Architecture. With an open secure architecture-based backbone, the offering enables cloud portability, eliminating vendor lock-in and boosting cloud ROI.</p>
<p>Enterprise Cloud Platform as a service (PaaS) offering are designed and built on top of TCS’ secure and reliable enterprise cloud platform to optimize development costs while simultaneously providing scalability, high availability, reduced maintenance, and boost agility with DevOps and supports “As a Service” model, which are required for enterprises to create a cloud native environment.</p>",CAIQ 3.1 Self-assessment,2021-08-04 22:18:45.093733,https://content-production.star.watch/tata-consultancy-services-ltd/2021-05-03_TCS-Logo-Colour-RGB-original.png
Dell Technologies,Dell Technologies APEX,"<p>The power of cloud, the control of your data center — delivered everywhere, the cloud that adapts to your needs from Dell Technologies. Utilize cloud solutions tailored to your business, to deliver the right environment for your workloads and enable your organization to innovate anywhere.</p>
<ul>
<li>APEX Console: is an IT and cloud management portal that unifies and modernizes the end-to-end journey of discovery, subscription, deployment, monitoring, optimization and growth for APEX services across on-premise and hybrid cloud environments.</li>
<li>APEX Hybrid Cloud delivers application-ready compute, storage and networking with pre-configured instances deployed on-premises or at a co-location facility supporting a wide range of enterprise workloads running on virtual machines or containers with secure and consistent operations across all your clouds</li>
<li>APEX Private Cloud delivers application-ready compute and storage with pre-configured instances deployed on-premises or at a co-location facility supporting a wide range of enterprise workloads running on virtual machines or containers.</li>
</ul>",CAIQ 3.1 Self-assessment,2021-05-05 00:00:00,https://content-production.star.watch/dell-technologies/2021-05-05_Dell_Technologies-original.png
"VMware, Inc.",Lastline,"<p>In June 2020, VMware acquired Lastline, whose solutions allow customers to visualize, detect and contain sophisticated cyberthreats on premise or in the cloud</p>

<p>With this acquisition, VMware will be able to add new capabilities for network detection and response/network threat analysis that will span across NSX and SD-WAN offerings.</p>
",CAIQ 3.1 Self-assessment,2021-05-20 18:20:51.056616,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
Blackbaud,Blackbaud Education Management,"<p>Connect your whole school and drive digital transformation with Blackbaud’s cloud-based education management solutions for K–12 private and parochial schools. Power efficiency with truly seamless data flow from enrollment management into the learning management and student information systems, and create an unparalleled user experience for parents, students, faculty, and staff through a single login, unified interface, and mobile access.</p>
",CAIQ 3.1 Self-assessment,2021-10-26 16:35:34.031221,https://content-production.star.watch/blackbaud/2021-03-04_blackbaud-original.png
Siemens AG,EnergyIP® MDM SaaS ,"<p>The market leading Meter Data Management (MDM) application for Advanced Meter Infrastructure (AMI) is now available as Software as a Service (SaaS)</p>
",CAIQ 4.0.2 Self-assessment,2022-01-26 17:03:59.248168,https://content-production.star.watch/siemens-ag/2021-04-23_logo_petrol_lightsand_370-original.png
4Science Srl,DSpace,"<p><a href=""https://www.4science.it/en/dspace/"">DSpace</a> is the most widely used repository software with more than 2.000 installations around the world. It is open source and completely customizable to fit the needs of any organization. 4Science provides <a href=""https://www.4science.it/en/solutions/"">extensions and modules</a> to support a broader range of use cases. </p>",CAIQ 3.1 Self-assessment,2020-11-24 22:24:00.113002,https://content-production.star.watch/4science-srl/2021-03-04_4science-badge-large-original.png
Okta Inc.,Okta Inc.,"<p>Okta provides an On-Demand Identity as a Service (IDaaS) and Okta Access Gateway (OAG) (the system) that
enables enterprises to accelerate the secure adoption of their web-based applications, both in the cloud and
on-premise. Increasingly enterprises are adopting cloud services such as Office 365, Salesforce, Google Apps,
Workday, etc. to power their core business processes. Whether they have one cloud application, or are managing
across many, they need a solution to help them adopt, deploy, secure and manage these services. Okta delivers
this solution with a service that is on-demand, highly reliable, scalable, and secure. A complete, turnkey
solution, it addresses the needs of IT, end-users, and business leaders across the company by providing single
sign-on across all applications, secure and integrated user management across people and applications, and
reporting and analytics to help maximize ROI and minimize risk.</p>",CAIQ 3.1 Self-assessment,2021-02-24 00:00:00,https://content-production.star.watch/okta-inc/2018-01-24_Okta_Inc.-original.png
Blackbaud,Blackbaud Checkout,"<p>Blackbaud Checkout is a payment form that provides a simplified payment experience for consuming applications and donors.</p>

<p>Blackbaud Checkout takes basic information from your application, builds a form to collect payment information, and returns a token that is used to finalize the transaction. This keeps sensitive credit card information securely on Blackbaud Secure Payments servers.</p>
",CAIQ 3.1 Self-assessment,2021-08-23 19:13:35.499731,https://content-production.star.watch/blackbaud/2021-03-04_blackbaud-original.png
InEight,InEight,"",CAIQ 3.1 Self-assessment,2021-02-26 00:00:00,https://content-production.star.watch/ineight/2020-03-11_ineight-original.png
Zendesk,Zendesk Sell,"<p>The best customer experiences are built with Zendesk. Our customer service and engagement products are powerful and flexible, and scale to meet the needs of any business. Zendesk serves businesses across hundreds of industries, with more than 145,000 paid customer accounts offering service and support in over 30 languages. Zendesk is headquartered in San Francisco, and operates worldwide with offices in North America, Europe, Asia, Australia, and South America. Learn more at <a href=""http://www.zendesk.com/"" target=""_blank"">http://www.zendesk.com/</a>.</p>
",CAIQ 3.1 Self-assessment,2021-06-08 20:09:32.507318,https://content-production.star.watch/zendesk/2020-08-17_zendesk-original.png
Accenture Plc,Accenture Private Cloud,"<p>Accenture is a Global professional services company providing a range of strategy, consulting, digital, technology &amp; operations services and solutions.</p>",STAR Certification,2020-03-23 05:00:00,https://content-production.star.watch/accenture-plc/2021-03-04_Accenture-original.png
Axon,Axon Cloud Services,"",CAIQ 3.1 Self-assessment,2021-07-27 00:00:00,https://content-production.star.watch/axon/2018-01-24_Axon-original.png
Blackbaud,Blackbaud Grantmaking,"<p>Access grant management information anywhere: on a site visit, in your board meeting, or at home. <br>
Benefit from an open grantmaking software platform that integrates with your other business solutions while still providing the intuitive user experience you enjoy from the other Blackbaud nonprofit software tools that make onboarding across your organization easier than ever<br>
Get in-app guided help, specific to the area of the program you’re working on at that moment<br>
Sign in from any device, anywhere, on any browser, making it easy for staff to manage the grants workflow or share important grant management information anytime</p>
",CAIQ 3.1 Self-assessment,2021-05-19 17:40:12.59432,https://content-production.star.watch/blackbaud/2021-03-04_blackbaud-original.png
"VMware, Inc.",Pivotal Tracker ,"<p>Pivotal Tracker is a straightforward project-planning tool that helps software development teams form realistic expectations about when work might be completed based on the team’s ongoing performance. Tracker visualizes your projects in the form of stories (virtual cards) moving through your workflow, encouraging you to break down projects into manageable chunks and have important conversations about deliverables and scope. As your team estimates and prioritizes those stories, Tracker divides them into future iterations, learning from your team’s natural pace of work to accurately predict when you will complete future work. Tracker’s transparent team view of priorities means that everyone knows what needs to be done, what is being done, and when it will be completed. Tracker’s agile philosophy not only helps your team keep pace and plan work, but adjust and change course when the unexpected happens, so your team can deliver earlier and more consistently.</p>
",CAIQ 3.1 Self-assessment,2021-12-27 19:10:14.304771,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
ThousandEyes,ThousandEyes,<p>ThousandEyes <strong>monitors</strong> internal and external network performance to <strong>improve</strong> application delivery and reduce service interruptions. We <strong>help</strong> companies <strong>thrive</strong> in a connected world.</p>,CAIQ 3.1 Self-assessment,2021-07-16 19:16:17.264549,https://content-production.star.watch/thousandeyes/2021-03-04_thousand-eyes-original.png
"VMware, Inc.",Horizon Cloud on IBM Cloud,"<p>The VMware Horizon® Cloud Service™ on IBM Cloud delivers feature-rich virtual desktops and applications using a purpose-built cloud platform that is scalable across multiple deployment options, including fully managed infrastructure from VMware, on IBM Cloud.</p>",CAIQ 3.1 Self-assessment,2021-09-24 15:53:49.362761,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
Talkdesk Inc,Talkdesk,"<p>Talkdesk is an easy-to-use, cloud-based call center software solution that helps growing businesses,<br>
improve customer interactions, while simultaneously reducing costs. Talkdesk requires no phones,<br>
hardware, coding or downloads - all that is needed is a computer and an internet connection. Companies<br>
can be up-and-running in minutes and have access to robust call center functionality (i.e., IVR, skills-based<br>
routing, call conferencing, call transfers) in an intuitive web-based interface. Finally, with real-time and<br>
historical reporting, call monitoring and call recording, agents and managers can make data-driven<br>
decisions based on comprehensive information to help optimize the customer experience.</p>
",CAIQ 3.1 Self-assessment,2021-09-22 16:59:46.195452,https://content-production.star.watch/talkdesk-inc/2021-03-04_talkdesk_logo-original.png
BetterCloud,BetterCloud,"<p>BetterCloud is the first SaaS Operations Management platform, empowering IT and security teams to define, remediate, and enforce management and security policies for SaaS applications. Over 2,500 customers in 60+ countries rely on BetterCloud for continuous event monitoring, threat remediation, and fully-automated policy enforcement.</p>
",CAIQ 3.1 Self-assessment,2020-07-16 20:25:27.704087,https://content-production.star.watch/bettercloud/2019-07-17_bc-final-dark-original.png
"VMware, Inc.",Workspace ONE Access and Hub Services ,"<p>VMware Workspace ONE® Access™ delivers multifactor authentication (MFA), conditional access and single sign-on (SSO) for applications delivered by VMware Workspace ONE. By acting as a broker to other identity stores and providers, Workspace ONE Access enables organizations to quickly and more securely implement application and device strategies that deliver consistent, enterprise-wide access to applications and data from any device in any location. Workspace ONE Hub Services data–which offers a unified catalog, actionable notifications of potential interest to employees, a virtual assistance chatbot, and a people directory for a full digital workspace experience–is co-located within the Workspace ONE Access hosting environment. </p>",CAIQ 3.1 Self-assessment,2020-09-24 18:17:31.512148,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
"VMware, Inc.",Cloud Partner Navigator,"<p>Built for cloud providers and managed service providers to easily expand their business opportunities beyond their own clouds with access to a broad portfolio of cloud services.</p>
",CAIQ 3.1 Self-assessment,2021-07-17 02:42:30.426887,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
Google,Google Cloud,"<p>Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions, along with expertise, to reinvent their business with data-powered innovation on modern computing infrastructure. We deliver enterprise-grade cloud solutions that leverage Google’s cutting-edge technology to help companies operate more efficiently, modernize for growth and innovate for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems. </p>",CAIQ 4.0.1 Self-assessment,2021-10-25 17:04:04.157843,https://content-production.star.watch/google/2021-03-05_googlelogo_clr_620x208px-original.png
Auth0,Auth0 Identity Platform,"<p>Auth0 provides authentication and authorization as a service. Auth0 gives developers and companies the building blocks they need to secure their applications, without having to become security experts by connecting any application (written in any language or on any stack) to Auth0 and defining the identity providers use. Based on the application’s technology, Auth0s’ SDKs or API is connected to the client’s applications. Each time a user tries to authenticate, Auth0 will verify their identity and send the required information back to that application.</p>",STAR Certification,2021-10-07 00:00:00,https://content-production.star.watch/auth0/2021-01-12_auth0-logo-forlightbg-original.png
Oracle Corporation,Oracle Cloud Infrastructure,"<p>Oracle Cloud Infrastructure (OCI) is an IaaS that delivers on-premises high-performance computing power to run Cloud native and enterprise company’s IT workloads. OCI provides real-time elasticity for enterprise applications by combining Oracle's autonomous services, integrated security, and serverless compute. Available for public cloud.</p>
",CAIQ 3.1 Self-assessment,2021-05-19 00:00:00,https://content-production.star.watch/oracle-corporation/2021-04-23_oracle-cloud-original.png
New Relic,APM,New Relic is a software analytics company that makes sense of billions of metrics about millions of applications in real time. New Relic's comprehensive SaaS-based solution provides one powerful interface for web and native mobile applications and consolidates the performance monitoring data for any chosen technology in an environment. There are thousands of active customer accounts using New Relic's cloud solution every day to optimize more than 200 billion metrics for 3 million applications. New Relic is pioneering a new category called Software Analytics.,CAIQ 3.1 Self-assessment,2020-06-17 00:00:00,https://content-production.star.watch/new-relic/2018-01-24_New_Relic-original.png
4Science Srl,Open Journal System (OJS),"<p>The Open Journal Systems (OJS) is a journal management and publishing system that has been developed by the PKP – Public Knowledge Project to expand and improve access to research.</p>

<p>It is an <strong>open source software</strong> made freely available to journals worldwide.</p>

<p><a href=""https://www.4science.it/en/ojs/"" target=""_blank"">https://www.4science.it/en/ojs/</a></p>
",CAIQ 3.1 Self-assessment,2020-11-24 22:24:54.273295,https://content-production.star.watch/4science-srl/2021-03-04_4science-badge-large-original.png
"Broadridge Financial Solutions, Inc.",Broadridge,"",STAR Certification,2019-06-07 00:00:00,https://content-production.star.watch/broadridge-financial-solutions-inc/2021-03-04_broadridge-original.png
Oracle Corporation,Oracle SaaS Services,"<p>The Oracle Software as a Service (SaaS) provides customers with a suite of services including Human Capital Management, Enterprise Resource Planning, Customer Experience, Supply Chain Management, and Enterprise Performance Management all hosted in a cloud environment based on customer needs. Customers are able to manage various business components, which allows for scaling and tailoring to business needs. </p>",STAR Certification,2020-02-02 00:00:00,https://content-production.star.watch/oracle-corporation/2021-04-23_oracle-cloud-original.png
Atlassian,Jira and Confluence Cloud,"<p>Atlassian’s portfolio of products includes JIRA for team planning and project management, Confluence for team content creation and sharing, Stride for team messaging and communications, Bitbucket for team code sharing and management and JIRA Service Desk for team services and support applications. Thousands of third-party applications are built on top of Atlassian products and the company supports dozens of integration partners.</p>",CAIQ 3.1 Self-assessment,2022-02-14 23:54:17.694437,https://content-production.star.watch/atlassian/2020-07-28_atlassian-logo-gradient-horizontal-blue_2x-original.png
Google,Google Workspace,"<p>Google Workspace allows business to enable their users to communicate, collaborate, and work more efficiently. Google Workspace's
set of communication, productivity, collaboration and security tools can be accessed from virtually any location
with Internet connectivity. This means every employee and each user entity they work with can be productive
from anywhere, using any device with an Internet connection.<br>
Google Workspace's features include:</p>
<ul>
<li>Realtime multi-user collaboration</li>
<li>Security and compliance features</li>
<li>Seamless upgrades</li>
</ul>",STAR Attestation,2021-04-30 00:00:00,https://content-production.star.watch/google/2021-03-05_googlelogo_clr_620x208px-original.png
Liferay,Liferay,"<p>One Platform.<br>
Endless Solutions.<br>
Deliver a tailored solution for your challenges on a flexible, integrated digital experience platform.</p>
",CAIQ 3.1 Self-assessment,2020-11-23 23:49:55.159967,https://content-production.star.watch/liferay/2020-12-03_liferay-logo-full-color-2x-original.png
Okta Inc.,Okta Inc.,"<p>Okta provides an On-Demand Identity as a Service (IDaaS) and Okta Access Gateway (OAG) (the system) that
enables enterprises to accelerate the secure adoption of their web-based applications, both in the cloud and
on-premise. Increasingly enterprises are adopting cloud services such as Office 365, Salesforce, Google Apps,
Workday, etc. to power their core business processes. Whether they have one cloud application, or are managing
across many, they need a solution to help them adopt, deploy, secure and manage these services. Okta delivers
this solution with a service that is on-demand, highly reliable, scalable, and secure. A complete, turnkey
solution, it addresses the needs of IT, end-users, and business leaders across the company by providing single
sign-on across all applications, secure and integrated user management across people and applications, and
reporting and analytics to help maximize ROI and minimize risk.</p>",STAR Attestation,2021-05-31 00:00:00,https://content-production.star.watch/okta-inc/2018-01-24_Okta_Inc.-original.png
"VMware, Inc.",VMware Tanzu Service Mesh ,"<p>Tanzu Service Mesh solution radically simplify the process of connecting, protecting, and monitoring microservices across any runtime and any cloud. Provide a common policy and infrastructure for modern distributed applications and unify operations for Application Owners, DevOps/SREs and SecOps without disrupting developer workflow.</p>
",CAIQ 3.1 Self-assessment,2021-09-13 00:00:00,https://content-production.star.watch/vmware-inc/2018-01-24_VMware__Inc.-original.png
Cloud Carib Limited,Cloud Carib Limited,"<p>Cloud Carib is the premier provider of trusted cloud services in the  Caribbean and Latin American regions. Headquartered in The Bahamas, we are focused on delivering secure and hybrid infrastructure solutions and managed services to the region through locally operated data centres and strategic alliances with leading technology partners.</p>
",CAIQ 4.0.2 Self-assessment,2021-10-06 18:05:40.661425,https://content-production.star.watch/cloud-carib-limited/2021-10-05_CC-original.png
Pegasystems,Pega Cloud,"<p>Cloud Computing is a necessity for agile organizations that seek to enable applications to scale with consistent performance and meet a rapidly evolving security landscape. For enterprises, migrating customer engagement and digital process automation applications to the cloud requires an architecture built for the task.</p>

<p>Pega Cloud Services is a fully managed cloud that provides the tools, environments and operational support built for the enterprise. Clients can deploy their cloud globally on secured infrastructure designed to meet rigorous security and compliance requirements. With fast provisioning and a global support team, Pega Cloud Services enables enterprises to deliver applications and value to their organizations faster.</p>
",STAR Certification,2020-04-27 00:00:00,https://content-production.star.watch/pegasystems/2021-03-04_pega-original.png
